topic,industry,question
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống thanh toán đa tiền tệ.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách handle race condition khi trừ tiền ví người dùng trong nhiều request đồng thời.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Triển khai batch job để tính hoa hồng và phí giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để monitor latency và throughput của API thanh toán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích CQRS pattern trong hệ thống tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,So sánh transaction log và event log trong ledger system.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách hoạt động của escrow trong giao dịch online.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế retry mechanism an toàn cho payment API.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phân tích bottleneck thường gặp trong hệ thống ví điện tử.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách tối ưu hóa query cho báo cáo tài chính theo thời gian thực.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế microservice payment: các service cần tách riêng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để prevent double withdrawal attack.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách reconcile giữa transactions và ledger bất biến.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp sử dụng cache cho API báo cáo doanh thu.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để implement role-based access control trong hệ thống thanh toán.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế API webhook để nhận callback từ ngân hàng một cách an toàn.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để validate và sanitize dữ liệu đầu vào của API giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách implement alert khi transaction failed hoặc timeout.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách hoạt động của blockchain và smart contract trong Fintech.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để handle backpressure trong message queue tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Triển khai rate-limiting cho multi-tenant API.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế data retention policy cho ledger system.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách log transaction audit an toàn và tuân thủ GDPR.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống reconciliation giữa nhiều ngân hàng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp chống fraud khi người dùng thay đổi số tiền giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để implement distributed tracing cho API tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách bạn thiết kế snapshot cho ledger để tăng hiệu năng báo cáo.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách partition data để tăng throughput trong hệ thống transaction.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để prevent replay attack trên webhook.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách bạn xử lý transaction rollback khi một service bị fail trong Saga pattern.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phân tích trade-off giữa consistency và availability trong distributed ledger.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Triển khai alert khi bất thường trong volume giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để encrypt dữ liệu trong transit và at rest.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế API thanh toán với các mức ưu tiên khác nhau.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để kiểm thử tính idempotent của endpoint.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế cơ chế transaction queue để xử lý hàng nghìn lệnh cùng lúc.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách handle concurrency khi cùng lúc cập nhật balance người dùng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích Eventual Consistency và cách áp dụng cho ledger system.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để giảm latency trong query tổng hợp giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách implement audit trail cho tất cả request API.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống reward point và tích hợp với ví điện tử.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm thế nào để detect và prevent duplicate transactions.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách triển khai Saga pattern trong hệ thống payment.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách secure API key khi gọi bên thứ ba.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế cơ sở dữ liệu cho giao dịch định kỳ (recurring payments).
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để implement throttling và circuit breaker cho API.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phân tích các chỉ số performance API trong fintech: latency, throughput, error rate.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách thiết kế hệ thống escrow cho P2P lending.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế dashboard giám sát giao dịch theo thời gian thực.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để đồng bộ dữ liệu giữa microservices trong transaction-critical system.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách quản lý schema migration cho database giao dịch.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để đảm bảo data integrity khi sử dụng async processing.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống refund và chargeback xử lý nhanh.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách apply hashing và digital signature để đảm bảo giao dịch không bị giả mạo.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích cách dùng optimistic locking để tránh lost update.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để implement API versioning trong hệ thống tài chính.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách thiết kế hệ thống webhook retry an toàn.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để scale hệ thống transaction lên hàng triệu request/ngày.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế cơ chế alert khi balance âm hoặc bất thường.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Giải thích trade-off giữa consistency, availability và partition tolerance trong fintech.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để implement full audit trail cho tất cả giao dịch người dùng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Phương pháp bảo vệ dữ liệu nhạy cảm khỏi insider threat.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế hệ thống subscription billing tự động.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Làm sao để handle delayed payment callback từ ngân hàng.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách triển khai unit test và integration test cho payment API.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Thiết kế ledger system theo dạng append-only để tránh dữ liệu bị sửa đổi.
Kỹ sư Phần mềm (Backend),Tài chính/Fintech,Cách monitor fraud patterns bằng analytics trong hệ thống ví điện tử.
Kỹ sư DevOps,Y tế/HealthTech,Giải thích về các tiêu chuẩn bảo mật dữ liệu y tế (ví dụ: HIPAA, GDPR).
Kỹ sư DevOps,Y tế/HealthTech,Cách triển khai cơ chế Rollback an toàn cho một ứng dụng sức khỏe (Health App).
Kỹ sư DevOps,Y tế/HealthTech,Thiết kế CI/CD pipeline cho hệ thống đa môi trường (dev, staging, production).
Kỹ sư DevOps,Y tế/HealthTech,Làm thế nào để giám sát và cảnh báo về hiệu suất của các API truy xuất hồ sơ bệnh nhân?
Kỹ sư DevOps,Y tế/HealthTech,Sự khác biệt giữa IaaS, PaaS, SaaS và ứng dụng trong HealthTech.
Kỹ sư DevOps,Y tế/HealthTech,Làm thế nào để đảm bảo tính sẵn sàng cao (HA) cho một hệ thống lưu trữ hồ sơ điện tử (EHR).
Kỹ sư DevOps,Y tế/HealthTech,Mô tả quy trình sao lưu và phục hồi thảm họa (Disaster Recovery) của bạn.
Kỹ sư DevOps,Y tế/HealthTech,Tầm quan trọng của Infrastructure as Code (IaC) trong lĩnh vực y tế.
Kỹ sư DevOps,Y tế/HealthTech,Sử dụng Prometheus và Grafana để theo dõi những metric quan trọng nào trong HealthTech.
Kỹ sư DevOps,Y tế/HealthTech,Cách bạn tự động hóa quy trình vá lỗi bảo mật (security patching) trên các servers.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Giải thích về thuật toán PageRank và các biến thể của nó.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Cách bạn xử lý dữ liệu người dùng khổng lồ theo thời gian thực (real-time).
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Sự khác biệt giữa Data Lake, Data Warehouse và Data Mart.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Bạn sẽ dùng mô hình nào để dự đoán xu hướng lan truyền (virality) của một bài đăng?
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Trình bày các bước bạn thực hiện để làm sạch và tiền xử lý dữ liệu văn bản.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Mô tả về A/B Testing và cách bạn xử lý trường hợp kết quả không có ý nghĩa thống kê.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Khi nào bạn nên chọn Python thay vì R trong phân tích dữ liệu?
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Giải thích về khái niệm Bias và Variance trong Machine Learning.
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Làm thế nào để đánh giá chất lượng của một mô hình phân loại (classification model).
Phân tích Dữ liệu,Truyền thông/Mạng xã hội,Cách bạn xây dựng một mô hình gợi ý kết nối bạn bè (Friend Recommendation).
Kỹ sư QA/Tester,Gaming,Giải thích sự khác biệt giữa Alpha Testing, Beta Testing và Stress Testing.
Kỹ sư QA/Tester,Gaming,Cách bạn thiết kế các trường hợp kiểm thử cho chức năng Multi-player trong game.
Kỹ sư QA/Tester,Gaming,Tầm quan trọng của việc kiểm thử hiệu suất (Performance Testing) trong ngành game.
Kỹ sư QA/Tester,Gaming,Làm thế nào để kiểm thử tính công bằng (fairness) của hệ thống loot box hoặc gacha.
Kỹ sư QA/Tester,Gaming,Mô tả cách bạn sử dụng automation testing cho giao diện người dùng (UI) phức tạp của game.
Kỹ sư QA/Tester,Gaming,Kỹ thuật kiểm thử nào bạn sử dụng để phát hiện Memory Leaks.
Kỹ sư QA/Tester,Gaming,Giải thích về Test Pyramid và cách áp dụng nó trong phát triển game.
Kỹ sư QA/Tester,Gaming,Làm thế nào để kiểm thử các bản cập nhật lớn của game mà không ảnh hưởng đến người dùng hiện tại.
Kỹ sư QA/Tester,Gaming,So sánh giữa White Box Testing và Black Box Testing.
Kỹ sư QA/Tester,Gaming,Kể về một lần bạn phát hiện ra một bug nghiêm trọng mà không phải ai cũng thấy.
